LastName,FirstName,Address1,Address2,City,State,Zip,Zip4,Email,HomePhone,MobilePhone,ProductName,DatePurchased,PaidAmount
Langworth,Dahlia,794 Rowe Terrace,,Fayton,AZ,28541,,Dahlia.Langworth18@hotmail.com,7100875951,0045216722,Intelligent Metal Mouse,2024-04-09,353.20
Hagenes,Angel,137 Sandrine Throughway,Apt. 504,Howellport,AR,23116,,Angel.Hagenes32@yahoo.com,1272719943,5991212510,Gorgeous Concrete Soap,2022-08-27,496.47
Kautzer,Mattie,97038 Lebsack Field,,Oberbrunnermouth,MA,00851,0744,Mattie92@hotmail.com,8986431700,8206163965,Awesome Wooden Towels,2023-03-20,338.08
Spencer,Zechariah,3195 Freeman Path,,Port Hans,AL,97563,,Zechariah_Spencer@gmail.com,0405515044,9228425146,Licensed Soft Bike,2023-01-28,265.89
Harris,Eva,45915 Willms Crossroad,Apt. 559,Shaunmouth,KS,57488,,Eva.Harris@gmail.com,4998349965,5987960392,Unbranded Wooden Soap,2023-08-16,209.31
Welch,Jacky,3758 Feest Stream,,South Sylvia,MO,11034,3160,Jacky_Welch@yahoo.com,2295954082,2897429228,Handcrafted Wooden Ball,2023-04-06,155.15
Cronin,Brant,73383 Dina Port,,New Talia,IA,40625,2403,Brant_Cronin@hotmail.com,,4680628429,Practical Plastic Salad,2023-10-24,182.88
Rogahn,Frederique,129 Zieme Squares,,South Ceasarton,IA,14525,,Frederique14@gmail.com,2941708912,9108126737,Gorgeous Metal Sausages,2023-05-16,474.91
Rolfson,Meda,0719 Beatty Squares,Suite 249,Port Madonna,ME,68147,,Meda.Rolfson@hotmail.com,1423074166,3447415397,Unbranded Fresh Ball,2022-11-18,310.03
Maggio,Dorian,274 Troy Meadow,,South Dixieville,ME,27224,2186,Dorian.Maggio@yahoo.com,7757178930,0733523356,Sleek Granite Bike,2023-12-30,258.93
Vandervort,Helena,5326 Paucek Isle,,East Armandostad,VA,44571,4328,Helena.Vandervort62@gmail.com,0109359088,6793522688,Awesome Metal Hat,2023-12-01,382.27
Erdman,Courtney,14147 Derick Creek,,North Libbiebury,WV,08954,,Courtney.Erdman54@gmail.com,,3541831532,Small Granite Ball,2023-05-10,77.46
Mueller,Shirley,4111 Edwina Locks,,Brandobury,VA,69165,,Shirley_Mueller98@gmail.com,,1826570760,Rustic Cotton Shoes,2023-04-30,279.98
Bins,Tressa,99550 Asa Path,,Lake Reilly,WY,55417,,Tressa.Bins@gmail.com,5007757330,3282270013,Sleek Fresh Fish,2024-05-11,481.89
Dickens,Brandt,145 Howe Mill,,Skilesstad,WI,94330,,Brandt44@gmail.com,3400074956,0069487931,Refined Cotton Chair,2024-02-02,265.29
Oberbrunner,Octavia,2106 Junior Corner,,West Pasqualebury,WV,76074,8236,Octavia.Oberbrunner60@yahoo.com,6592848785,5836462390,Ergonomic Metal Hat,2023-01-03,22.00
Crona,Betty,1266 Cooper Keys,,South Drew,IA,57096,,Betty_Crona39@gmail.com,5653414337,2800056074,Licensed Rubber Shirt,2022-10-30,452.49
Schinner,Kailyn,13830 Rosalia Inlet,,Durganbury,VT,75796,9030,Kailyn_Schinner50@yahoo.com,7592775811,7440822298,Incredible Soft Chair,2023-10-20,190.65
Bergnaum,Jonas,5612 Bednar Locks,,Hillsshire,CO,06976,7785,Jonas.Bergnaum37@gmail.com,7884555594,0027807412,Licensed Granite Pants,2022-12-27,427.62
Streich,Gayle,6281 Diamond Manors,,Lake Myrtischester,OK,46504,9053,Gayle_Streich52@hotmail.com,6485132931,4858186176,Handmade Fresh Mouse,2022-06-04,445.23
Stoltenberg,Eleanore,4624 Joelle Ferry,,East Montanachester,CA,23341,8941,Eleanore_Stoltenberg60@gmail.com,4776201035,7661439346,Handmade Plastic Salad,2023-08-06,280.36
Batz,Rudy,9579 Funk Forks,,Walshbury,KY,98157,,Rudy_Batz@gmail.com,1902814584,9184943351,Handcrafted Soft Salad,2024-01-26,366.00
Hudson,Isabelle,4286 Cummerata Ferry,,Tierratown,SD,12161,,Isabelle_Hudson@yahoo.com,1119691826,8431214888,Practical Fresh Chair,2023-09-14,339.80
Senger,Eda,232 Frida Walk,,East Lavernehaven,SC,82897,,Eda.Senger@hotmail.com,9668059776,5653035539,Tasty Granite Table,2024-01-16,326.66
Cremin,Tommie,542 Watsica Canyon,,Alvahton,KS,04811,7362,Tommie.Cremin59@yahoo.com,,3569466112,Unbranded Fresh Chicken,2022-12-22,436.75
Spencer,Abbigail,302 Dibbert Locks,Suite 621,Whitneybury,ME,06705,,Abbigail_Spencer@hotmail.com,7172537955,9887810800,Intelligent Rubber Table,2022-08-23,84.24
Leffler,Bill,50963 Rosendo Springs,,North Louiemouth,NV,30447,5748,Bill.Leffler@gmail.com,,3336540269,Handmade Wooden Table,2022-07-29,221.55
Thompson,Jane,94264 Halvorson Burgs,Apt. 899,Port Tayafort,MA,14936,,Jane_Thompson@gmail.com,1205236208,2162968831,Gorgeous Cotton Towels,2022-07-22,100.14
Lubowitz,Owen,8725 Conroy Orchard,,North Ebbamouth,SC,07288,,Owen36@yahoo.com,2101408587,3569110795,Handcrafted Fresh Towels,2024-03-07,78.41
Hackett,Blanca,8348 Smith Port,,Stokesfort,SC,17301,,Blanca_Hackett@hotmail.com,5157434397,9417989769,Tasty Fresh Cheese,2024-02-24,331.59
Hintz,Karson,85885 Wisozk Corner,Suite 095,Konopelskitown,SD,68740,,Karson.Hintz@hotmail.com,3333856889,1180234002,Sleek Fresh Cheese,2023-11-12,422.23
Kemmer,Bryana,4122 Hodkiewicz Cape,Apt. 455,Port Isaiburgh,CO,31374,3965,Bryana.Kemmer96@gmail.com,7937463804,1581586984,Ergonomic Cotton Pants,2024-04-23,389.66
Cronin,Tania,1758 Hickle Knolls,,Windlerside,AL,78329,1429,Tania74@yahoo.com,0048853437,7766888337,Practical Fresh Pizza,2022-06-02,146.85
Dibbert,Deanna,812 Brakus Centers,,Port Melvinmouth,WI,18245,8323,Deanna_Dibbert91@yahoo.com,1441553487,4612988923,Intelligent Wooden Tuna,2023-05-31,354.18
Bogisich,Reinhold,03164 Wilber Island,,Bridgetteland,ME,71256,,Reinhold31@hotmail.com,2046382625,8964532483,Sleek Frozen Salad,2023-10-17,155.41
Fadel,Rafaela,6262 Dewayne Loaf,,West Sadyefort,HI,80224,5728,Rafaela.Fadel@hotmail.com,4244779161,8900159339,Generic Plastic Computer,2023-01-09,162.79
Grimes,Koby,5656 Nella Isle,Apt. 793,Streichville,AK,09353,,Koby57@hotmail.com,3202600420,1276886615,Fantastic Rubber Shirt,2023-09-23,184.65
Keeling,Gwen,540 Mireya Street,,Friesenstad,AL,35120,0360,Gwen62@yahoo.com,8112215682,9975591280,Awesome Fresh Shirt,2024-04-21,391.14
Stiedemann,Brisa,47891 Heller Junction,,East Violamouth,DE,90746,,Brisa_Stiedemann8@hotmail.com,3259252147,6317221794,Fantastic Metal Chair,2022-10-19,408.42
Konopelski,Maxime,169 Kaya Loaf,,Port Marilyneport,SD,11219,,Maxime_Konopelski19@gmail.com,2722332072,9380137902,Sleek Rubber Car,2022-09-21,319.92
Kuhn,Treva,780 Skiles Spring,,East Hunterland,AZ,41022,,Treva64@hotmail.com,9556235374,6003343593,Refined Frozen Shirt,2023-01-29,357.77
Ritchie,Dorthy,1399 Bernhard Mall,,Bauchview,KS,90438,,Dorthy59@yahoo.com,8981907540,2592757007,Ergonomic Fresh Bike,2024-01-10,76.35
Schaefer,Muhammad,89679 Pascale Key,,Stammburgh,WV,65392,1929,Muhammad.Schaefer10@gmail.com,4090497357,6539997131,Practical Cotton Tuna,2023-08-07,219.31
Gerhold,Anastacio,3379 Rogahn Unions,Apt. 308,Hermanmouth,WI,38119,,Anastacio90@yahoo.com,1574526975,9015592756,Generic Concrete Chicken,2023-10-03,120.99
Monahan,Modesta,20650 Brakus Creek,Apt. 682,Port Austin,ID,80783,6418,Modesta_Monahan@hotmail.com,2317397031,7711720557,Handcrafted Cotton Towels,2023-01-20,426.07
Dicki,Brigitte,6932 Vandervort Cliffs,Apt. 428,Denesikmouth,CA,08225,6613,Brigitte_Dicki23@hotmail.com,,6777587435,Unbranded Frozen Table,2023-09-24,487.32
Beahan,Vanessa,1490 Ayla Village,,O'Connellberg,TX,05085,,Vanessa.Beahan78@yahoo.com,0737662840,9260423151,Incredible Wooden Chicken,2022-07-09,489.11
Sauer,Arvel,7856 Predovic Cliff,,Lake Enosmouth,GA,47609,3939,Arvel73@gmail.com,,6781550756,Gorgeous Fresh Soap,2022-10-06,421.32
O'Kon,Jodie,271 Brook Canyon,Suite 222,East Morganchester,WA,41505,,Jodie98@hotmail.com,0902831688,6201521786,Sleek Metal Cheese,2022-06-14,484.89
Wehner,Mallie,072 Johns Canyon,,Roosevelttown,VT,13801,8762,Mallie.Wehner@gmail.com,1073504755,4056907785,Sleek Steel Cheese,2023-01-23,28.55
Bashirian,Linwood,43485 Greenfelder Creek,,New Stacey,VT,47048,,Linwood.Bashirian@hotmail.com,2722921691,4346883589,Rustic Frozen Keyboard,2022-10-31,234.20
Runolfsdottir,Baby,845 Jayde Roads,,Port Phoebemouth,CT,85641,,Baby_Runolfsdottir@yahoo.com,,3588501282,Handcrafted Wooden Chips,2022-12-29,22.11
Volkman,Cathy,67355 Jalyn Passage,,Gerholdstad,UT,64883,7729,Cathy.Volkman@yahoo.com,,8200370449,Intelligent Cotton Sausages,2022-07-16,292.01
Adams,Levi,953 Lizeth Place,,South Fernando,MD,95575,,Levi_Adams@hotmail.com,4680432973,1584975980,Licensed Soft Pizza,2024-02-18,53.77
Runolfsson,Chet,2421 Becker Ferry,Apt. 279,Huelfurt,GA,80503,,Chet.Runolfsson@hotmail.com,3824178621,0222633126,Fantastic Cotton Bike,2022-05-21,78.04
Herzog,Lindsey,038 Delaney Walks,,Gildaberg,VA,08479,,Lindsey.Herzog81@yahoo.com,4323078550,3092601453,Intelligent Cotton Mouse,2023-06-14,405.66
Greenholt,Lon,374 Koch Union,,Schuppechester,CO,97644,0502,Lon.Greenholt47@gmail.com,,0706152481,Sleek Steel Chips,2023-12-22,91.57
Schuster,Zackery,7070 Grant Run,,Port Tiafurt,ME,95765,,Zackery.Schuster65@yahoo.com,9156644354,2404183374,Handcrafted Concrete Table,2023-09-21,386.14
Stark,Idella,6492 Sammie Mount,,Kaydenfurt,GA,44581,,Idella_Stark81@hotmail.com,3726984627,1245816942,Small Wooden Table,2022-09-27,298.00
Mayer,Montana,0434 Chaim Lodge,,Rutherfordborough,MA,73562,,Montana.Mayer@gmail.com,,0914367171,Generic Rubber Gloves,2023-07-19,37.07
Gulgowski,Jaquelin,924 Janessa Shore,,Mosciskiland,AR,31205,6410,Jaquelin.Gulgowski23@gmail.com,6304037706,9334894915,Handcrafted Wooden Towels,2024-04-02,329.83
Bradtke,Magnolia,27216 Hills Club,,New Sanfordville,CT,03951,7565,Magnolia.Bradtke@yahoo.com,3995290811,1736879020,Generic Soft Computer,2023-05-03,59.90
Bartell,Phyllis,17723 Reichel Streets,,North Reilly,IN,65433,,Phyllis_Bartell15@hotmail.com,1208580819,6609908596,Refined Granite Computer,2022-06-10,238.49
Krajcik,Mason,335 Eliezer Trail,,North Elodyview,SC,00404,7159,Mason.Krajcik@yahoo.com,5736421785,9443620253,Generic Soft Car,2022-06-21,131.18
Schamberger,Lela,43180 Nikita Court,,Lake Rickystad,VA,74814,,Lela.Schamberger47@hotmail.com,7915892236,4371205374,Ergonomic Frozen Bike,2022-08-01,96.39
Franecki,Augustus,7359 Ryley Path,,South Eugeneville,NC,20664,,Augustus.Franecki@yahoo.com,4999881451,0772701432,Gorgeous Plastic Cheese,2023-04-12,84.28
Luettgen,Gracie,677 Kshlerin Grove,,Willmouth,MT,52351,,Gracie4@gmail.com,9892440627,9078295832,Handcrafted Concrete Bike,2024-05-01,50.72
Breitenberg,Lilla,7761 Jaylin Walk,,Reyesport,CA,45742,,Lilla.Breitenberg54@yahoo.com,4838640737,9624037423,Sleek Rubber Cheese,2023-12-19,218.64
O'Reilly,Izabella,0518 Malinda Green,,North Audrey,AZ,93636,,Izabella_OReilly93@yahoo.com,,1826558412,Intelligent Rubber Towels,2022-06-11,266.20
Schulist,Betty,4471 Beer Pass,,Carrollshire,MD,23800,,Betty.Schulist@yahoo.com,0678881311,6214244573,Sleek Frozen Car,2023-05-29,465.82
MacGyver,Narciso,224 Herzog Avenue,,Bergstrombury,NH,67751,,Narciso.MacGyver@gmail.com,,0384085575,Rustic Frozen Chips,2023-11-27,475.30
Ullrich,Wilbert,019 Dooley Coves,,North Jimmy,AL,26730,7996,Wilbert_Ullrich90@hotmail.com,1132650791,3857054601,Small Concrete Fish,2022-11-09,253.93
Rutherford,Hudson,5711 Missouri Walk,,Johnpaulstad,HI,41824,,Hudson_Rutherford@hotmail.com,0274329409,0933558305,Unbranded Metal Mouse,2022-12-01,345.12
Bradtke,David,89919 Arjun Meadow,,Lake Milfordburgh,WI,70457,,David16@yahoo.com,,8656031661,Intelligent Rubber Towels,2023-12-24,73.93
Rempel,Queen,259 Frami Throughway,,Isabellafurt,HI,61030,1682,Queen97@hotmail.com,0036759067,8781041122,Generic Fresh Bacon,2023-07-29,425.99
Ebert,Stanton,0488 Rachael Parks,,Mohammedmouth,CA,16979,,Stanton_Ebert@yahoo.com,2102034689,0017147335,Tasty Fresh Computer,2023-10-16,120.61
Romaguera,Raoul,865 DuBuque Shore,,South Ardellafort,IA,01080,7179,Raoul37@hotmail.com,6954283450,0437094738,Licensed Cotton Bike,2024-03-20,455.17
Bosco,Wilmer,038 Salma Estate,,East Winnifred,WI,86799,,Wilmer76@yahoo.com,1318854328,9091247313,Tasty Granite Towels,2022-11-23,71.89
Hickle,Kenya,182 Angeline Squares,,West Teresaville,CO,88459,1985,Kenya_Hickle89@hotmail.com,7434189127,3958129440,Incredible Rubber Table,2024-02-19,183.10
Purdy,Euna,356 Padberg Wall,,Sheldonborough,GA,52778,,Euna_Purdy70@yahoo.com,4627493151,7555467342,Refined Soft Ball,2023-03-20,114.07
Rippin,Matilda,5063 Sammy Brook,,Zboncakview,MO,81001,,Matilda74@hotmail.com,2689699594,3611980193,Licensed Cotton Bike,2022-11-09,252.90
Lehner,Domenica,803 Carissa Gardens,,New Ruby,WA,92769,5996,Domenica_Lehner17@yahoo.com,7912046439,6910233822,Incredible Rubber Keyboard,2024-04-02,207.67
Ankunding,Kenya,6553 Barrows Mission,Suite 611,Beahanton,VT,47977,,Kenya.Ankunding54@hotmail.com,9968191871,8083980229,Unbranded Wooden Car,2022-06-26,305.10
Carroll,Robbie,126 Sadie Isle,,Lehnerberg,AL,38303,,Robbie_Carroll@hotmail.com,7796402606,6227667824,Generic Wooden Keyboard,2024-01-17,430.76
Daniel,Dayne,53143 Spencer Estates,Apt. 362,South Jaquantown,NY,16448,3450,Dayne97@hotmail.com,4637388682,8802753939,Fantastic Concrete Mouse,2023-06-03,193.17
Armstrong,Armani,4126 Ledner Heights,,Schoenport,MN,48378,,Armani_Armstrong90@hotmail.com,4082902743,1786031734,Sleek Cotton Soap,2023-12-21,134.33
Rowe,Felipa,105 Collier Groves,,Port Maureenberg,OK,25105,5649,Felipa91@yahoo.com,7068849807,6344734002,Awesome Frozen Computer,2023-11-05,215.28
Runolfsdottir,Boyd,463 Stephania Fields,,Grantfort,MI,71338,,Boyd_Runolfsdottir@gmail.com,2961682286,2943579095,Ergonomic Concrete Chips,2022-11-19,374.93
Graham,Brooke,80434 Caterina Forges,,Orvilletown,GA,59286,,Brooke.Graham39@yahoo.com,6463215248,9895416118,Intelligent Plastic Keyboard,2022-07-06,257.03
